0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Idx,Period H1,FMA H1,SLMA H1,550MA H1,DeltaC H1,Macd H1,Plot2 H1,Plot3 H1,Plot4 H1,Idx,Period M15,FMA M15,SLMA M15,550MA M15,DeltaC M15,Macd M15,Plot2 M15,Plot3 M15,Plot4 M15,Idx,Period M5,FMA M5,SLMA M5,550MA M5,DeltaC M5,Macd M5,Plot2 M5,Plot3 M5,Plot4 M5,Idx,Period M1,FMA M1,SLMA M1,550MA M1,DeltaC M1,Macd M1,Plot2 M1,Plot3 M1,Plot4 M1
39,2024.05.30 21:00:00,1.08237,1.08279,1.07787,Negative,0.000458,-0.000810,-0.000348,-0.000435,39,2024.06.03 02:45:00,1.08497,1.08483,1.08434,Positive,0.000079,0.000450,0.000365,0.000487,39,2024.06.03 09:20:00,1.08518,1.08522,1.08398,Negative,-0.000071,-0.000019,0.000040,0.000066,39,2024.06.03 11:57:00,1.08390,1.08392,1.08485,Negative,0.000071,-0.000175,-0.000174,-0.000240
40,2024.05.30 20:00:00,1.08227,1.08275,1.07786,Negative,0.000406,-0.000859,-0.000357,-0.000445,40,2024.06.03 02:30:00,1.08495,1.08481,1.08433,Positive,0.000066,0.000452,0.000365,0.000486,40,2024.06.03 09:15:00,1.08519,1.08524,1.08398,Negative,-0.000068,-0.000014,0.000043,0.000070,40,2024.06.03 11:56:00,1.08388,1.08391,1.08486,Negative,0.000057,-0.000187,-0.000178,-0.000245
41,2024.05.30 19:00:00,1.08215,1.08269,1.07785,Negative,0.000310,-0.000917,-0.000368,-0.000458,41,2024.06.03 02:15:00,1.08493,1.08479,1.08433,Positive,0.000056,0.000455,0.000365,0.000486,41,2024.06.03 09:10:00,1.08521,1.08525,1.08398,Negative,-0.000048,-0.000005,0.000047,0.000075,41,2024.06.03 11:55:00,1.08386,1.08390,1.08486,Negative,0.000050,-0.000196,-0.000181,-0.000249
42,2024.05.30 18:00:00,1.08202,1.08264,1.07783,Negative,0.000174,-0.000981,-0.000380,-0.000473,42,2024.06.03 02:00:00,1.08492,1.08478,1.08433,Positive,0.000048,0.000459,0.000366,0.000486,42,2024.06.03 09:05:00,1.08523,1.08526,1.08398,Negative,-0.000045,-0.000001,0.000049,0.000078,42,2024.06.03 11:54:00,1.08385,1.08390,1.08486,Negative,0.000035,-0.000206,-0.000184,-0.000253
43,2024.05.30 17:00:00,1.08189,1.08258,1.07782,Negative,0.000038,-0.001038,-0.000389,-0.000484,43,2024.06.03 01:45:00,1.08491,1.08477,1.08433,Positive,0.000041,0.000464,0.000367,0.000487,43,2024.06.03 09:00:00,1.08523,1.08526,1.08397,Negative,-0.000042,0.000003,0.000051,0.000080,43,2024.06.03 11:53:00,1.08383,1.08389,1.08486,Negative,0.000022,-0.000216,-0.000187,-0.000257
44,2024.05.30 16:00:00,1.08175,1.08254,1.07781,Negative,-0.000184,-0.001111,-0.000402,-0.000500,44,2024.06.03 01:30:00,1.08489,1.08475,1.08433,Positive,0.000031,0.000468,0.000367,0.000487,44,2024.06.03 08:55:00,1.08523,1.08526,1.08397,Negative,-0.000053,0.000003,0.000052,0.000082,44,2024.06.03 11:52:00,1.08382,1.08389,1.08486,Negative,0.000003,-0.000227,-0.000191,-0.000261
45,2024.05.30 15:00:00,1.08166,1.08252,1.07780,Negative,-0.000347,-0.001156,-0.000405,-0.000504,45,2024.06.03 01:15:00,1.08487,1.08473,1.08433,Positive,0.000005,0.000469,0.000367,0.000486,45,2024.06.03 08:50:00,1.08523,1.08526,1.08397,Negative,-0.000065,0.000003,0.000053,0.000083,45,2024.06.03 11:51:00,1.08382,1.08389,1.08486,Negative,-0.000004,-0.000233,-0.000192,-0.000264
46,2024.05.30 14:00:00,1.08159,1.08253,1.07780,Negative,-0.000547,-0.001202,-0.000409,-0.000507,46,2024.06.03 01:00:00,1.08484,1.08471,1.08432,Positive,-0.000035,0.000468,0.000365,0.000484,46,2024.06.03 08:45:00,1.08524,1.08527,1.08397,Negative,-0.000062,0.000008,0.000055,0.000086,46,2024.06.03 11:50:00,1.08381,1.08389,1.08486,Negative,-0.000010,-0.000239,-0.000194,-0.000265
47,2024.05.30 13:00:00,1.08158,1.08256,1.07779,Negative,-0.000688,-0.001222,-0.000403,-0.000499,47,2024.06.03 00:45:00,1.08482,1.08470,1.08432,Positive,-0.000067,0.000471,0.000366,0.000483,47,2024.06.03 08:40:00,1.08526,1.08529,1.08397,Negative,-0.000044,0.000017,0.000059,0.000091,47,2024.06.03 11:49:00,1.08381,1.08389,1.08487,Negative,-0.000017,-0.000245,-0.000196,-0.000267
48,2024.05.30 12:00:00,1.08158,1.08261,1.07778,Negative,-0.000848,-0.001238,-0.000397,-0.000489,48,2024.06.03 00:30:00,1.08482,1.08469,1.08432,Positive,-0.000074,0.000482,0.000368,0.000486,48,2024.06.03 08:35:00,1.08528,1.08530,1.08396,Negative,-0.000021,0.000026,0.000062,0.000096,48,2024.06.03 11:48:00,1.08381,1.08390,1.08487,Negative,-0.000021,-0.000250,-0.000197,-0.000269
49,2024.05.30 11:00:00,1.08159,1.08266,1.07777,Negative,-0.000992,-0.001242,-0.000386,-0.000474,49,2024.06.03 00:15:00,1.08482,1.08469,1.08432,Positive,-0.000091,0.000491,0.000370,0.000488,49,2024.06.03 08:30:00,1.08529,1.08530,1.08396,Negative,-0.000018,0.000029,0.000064,0.000098,49,2024.06.03 11:47:00,1.08382,1.08390,1.08487,Negative,-0.000019,-0.000253,-0.000197,-0.000269
50,2024.05.30 10:00:00,1.08161,1.08272,1.07777,Negative,-0.001184,-0.001251,-0.000376,-0.000460,50,2024.06.03 00:00:00,1.08483,1.08469,1.08432,Positive,-0.000102,0.000503,0.000373,0.000491,50,2024.06.03 08:25:00,1.08529,1.08530,1.08396,Negative,-0.000013,0.000032,0.000065,0.000100,50,2024.06.03 11:46:00,1.08383,1.08391,1.08487,Negative,-0.000011,-0.000255,-0.000197,-0.000269
51,2024.05.30 09:00:00,1.08169,1.08283,1.07776,Negative,-0.001344,-0.001241,-0.000359,-0.000438,51,2024.05.31 23:45:00,1.08485,1.08469,1.08432,Positive,-0.000094,0.000521,0.000377,0.000496,51,2024.06.03 08:20:00,1.08530,1.08531,1.08396,Negative,-0.000011,0.000034,0.000067,0.000102,51,2024.06.03 11:45:00,1.08383,1.08392,1.08487,Negative,-0.000005,-0.000257,-0.000198,-0.000269
52,2024.05.30 08:00:00,1.08185,1.08297,1.07776,Negative,-0.001401,-0.001193,-0.000332,-0.000401,52,2024.05.31 23:30:00,1.08485,1.08469,1.08432,Positive,-0.000100,0.000535,0.000380,0.000499,52,2024.06.03 08:15:00,1.08530,1.08531,1.08395,Negative,-0.000015,0.000035,0.000068,0.000103,52,2024.06.03 11:44:00,1.08384,1.08393,1.08488,Negative,0.000009,-0.000259,-0.000197,-0.000269
53,2024.05.30 07:00:00,1.08205,1.08313,1.07776,Negative,-0.001396,-0.001126,-0.000298,-0.000356,53,2024.05.31 23:15:00,1.08486,1.08468,1.08432,Positive,-0.000120,0.000545,0.000381,0.000500,53,2024.06.03 08:10:00,1.08530,1.08531,1.08395,Negative,-0.000019,0.000036,0.000069,0.000105,53,2024.06.03 11:43:00,1.08385,1.08394,1.08488,Negative,0.000021,-0.000261,-0.000198,-0.000269
54,2024.05.30 06:00:00,1.08222,1.08328,1.07776,Negative,-0.001427,-0.001067,-0.000267,-0.000316,54,2024.05.31 23:00:00,1.08487,1.08468,1.08432,Positive,-0.000124,0.000561,0.000384,0.000504,54,2024.06.03 08:05:00,1.08529,1.08531,1.08395,Negative,-0.000030,0.000035,0.000069,0.000105,54,2024.06.03 11:42:00,1.08385,1.08394,1.08488,Negative,0.000029,-0.000264,-0.000198,-0.000269
